key,source,target
/D2C9A5974DBA697BF894399DE7A353F8,--,
/09E02B174532A46542827B8ED7C238B4,0,
/77EB16FB4EB05EB0384C47B084CA1059,0,
/289416D64CE41905997B22B520B8D9E2,1,
/BC268D62487D4C41D1BFF18AD73BFA6A,1,
/0F0F58F54EA098D1037A7DAB63E3D092,100,
/DFD808954AD76FCA9DB7B39D8B417543,150,
/88CDBFEC4E8FEB2EC558DCBB22D50166,2,
/96F59150462EBE6C5208E0866C855FF1,200,
/14EF2E914BF836CB3C197AB831A03870,2x,
/6E79B5004EA23A42E01D91A91D6549C6,3,
/268BA0034FD28A32D13CC39C3D032F13,50,
/4D2321A2414BB22EA542BBBB362BB8AC,Afternoon Rush Complete!,下午高峰结束！
/3B702C794D8C9CC21C28DFB389607DE2,Afternoon Rush Incoming!,下午高峰来临！
/36C1DD5249A747A0A3312EBB3DF0F1A4,Both Arm Panels Opened,双臂面板已打开
/0B77D9DE48F48E169B7586A4DF2C84E6,Both Eyes Removed,双眼已移除
/D37D6BB04CBDB20E3E6FAB9FCA519F41,Cage Opened,笼子已打开
/B4DED7FF4AECF232A499799500B82437,Evening Rush Complete!,晚间高峰结束！
/01B2190E4C51CCB4A5396DAB2BD9CD4E,Evening Rush Incoming!,晚间高峰来临！
/021E91F34439018F9719FFA380D79D48,Face Opened,面部已打开
/DB03601143A4AC700046229383C57E40,Fazersauce,Faz酱
/E80FB5FA4CC1FA841F39D5BD175EE3A1,Free Play,自由玩
/521942524E1A273FB883B394012EDC23,GAME OVER,游戏结束
/0C77EC1846F6B94E34AD699AE2093436,GAME WON!,游戏胜利！
/02F8C17A47103AF0E64E56BA209C56B1,GO!,开始！
/94A5F5604ECFD91F115ADE95EC38E2C3,Good for you!,你真棒！
/9AE04E154E75EC0D4DCF94860AE6D136,H,H
/5B164209444A8A4A3B52B1A288338A65,High Score: {ScoreText},最高分：{ScoreText}
/6A911DDD4E28857F3DD9E8931636B4B9,Insert Coin,投币
/99F7AA4548C224B43E23D0BE332BC2C8,It is a fair trade,公平的交易
/E2BD469648190B747637FBBAA79D75DF,Left Arm Panel Opened,左臂面板已打开
/16AAC61E4F138A2D6AD8CAB981FE97B6,Left Eye Removed,左眼已移除
/C2C86510451CFF9D7C4DABBE611CADB1,Loading Modules Completed,模块加载完成
/4C1765CB44B87C614DB8B59DFA1FE98E,Morning Rush Complete!,早间高峰结束！
/0F00C10E4E046B279D87AD8E056035DA,Morning Rush Incoming!,早间高峰来临！
/3A67957944C58C85865303A43476F64D,Nacho Cheese,烤干酪辣味玉米片
/6834259C4C4352FD7AC00A812B88D61A,Next Order Incoming...,下一份订单即将到来...
/12B1080D4C714D3B7610CBB9138B253A,Night Rush Complete!,夜间高峰结束！
/6E38F62E40A0F8C5F55EFCAE513E7CEC,Night Rush Incoming,夜间高峰来临
/394B73BD41214106DA44CFA433501820,No Freebies!,没有免费赠品!
/FEFC62104B7EFC5167D5F69C376AAC7C,Noon Rush Complete!,正午高峰结束！
/20B03E624ABACDA8A7452EA4E5CE2170,Noon Rush Incoming!,正午高峰来临！
/818616E94061F921F3FCED8B38B7F600,Right Arm Panel Opened,右臂面板已打开
/64A91B0A46F34A8CC08F65BE659343D5,Right Eye Removed,右眼已移除
/EA974D2E4FFD7D5EE791A098ECB0696B,Ruined Mini Music Man,毁坏的迷你音乐人
/227512204D64E071E70CA6B02614C338,"See, now was that so hard?",看，这有多难？
/152DF79645FD5866EF21D0B818DCBF90,Stomach hatch removed,腹部舱门已移除
/E3C6A7C74CB405CBA4075B881AC312F7,"Test Text ...
Test Text ...
Test Text ...","测试文本 ...
测试文本 ...
测试文本 ..."
/D13C12534741F25DEBFD3B85B9DE0480,This looks familiar...,这看起来很熟悉...
/83A6E5924EBD486E4FE97BA6E155D3E9,Tomato,番茄
/1EE139874F7AD9DE7079EB96B0CA1FEC,Turn 1,第一回合
/52DF264F4D92F68371928FA8C0281330,Value,值
/B3DA5A7D4C1DC5BE69692584ACE80522,{int}x,{int}x
Gallery/LockedCharacter,LOCKED,锁定
LevelCategories/Backstage,Backstage,后台
LevelCategories/Fazcade,Fazcade,Faz游戏厅
LevelCategories/FoodPrep,Food Prep,食物准备
LevelCategories/SisterLocation,Sister Location,姊妹店(姐妹地点)
LevelCategories/StaffOnly,Staff Only,员工专用
LevelCategories/TicketBooth,Ticket Booth,售票亭
Loc_Subtitles/BALLORA_HW_00003,(BALLORA)\\\\Don't be shy.,(芭萝菈)\\\\不要害羞。
Loc_Subtitles/BALLORA_HW_00004,(BALLORA)\\\\I can hear someone creeping through my room.,(芭萝菈)\\\\我能听到有人在我的房间里悄悄地走动。
Loc_Subtitles/BALLORA_HW_00001,(BALLORA)\\\\Is someone there?,(芭萝菈)\\\\有人在吗？
Loc_Subtitles/BALLORA_HW_00002,(BALLORA)\\\\Perhaps not.,(芭萝菈)\\\\也许没有。
Loc_Subtitles/BALLORA_HW_00005,"(BALLORA)\\\\Why do you hide inside the walls, when there is music in my halls? All I see is an\\empty room. No more joy, like an empty tomb. It's so good to sing all day. To dance, \\to spin, to fly away.",(芭萝菈)\\\\当我的大厅里有音乐时，你为什么要躲在墙壁里？我看到的只是一个\\空荡荡的房间。没有了欢乐，就像一个空荡荡的坟墓。整天唱歌是多么美好。跳舞，\\旋转，飞翔。
Loc_Subtitles/BIDYBAB_HW_00001,"(BIDYBAB)\\\\Knock, knock.",(比迪巴)\\\\敲敲。
Loc_Subtitles/BIDYBAB_HW_00002,(BIDYBAB)\\\\Someone is inside.,(比迪巴)\\\\里面有人。
Loc_Subtitles/BIDYBAB_HW_00003,(BIDYBAB)\\\\We will see you again soon.,(比迪巴)\\\\我们很快会再来见你。
Loc_Subtitles/CANDY_HW2_00047,"(CANDY CADET)\\\\""Come."" The boy said. ""Rest here before killing the witch."" ",(糖果机器人)\\\\“来吧。”男孩说。“在杀死女巫之前在这里休息一下。”
Loc_Subtitles/CANDY_HW2_00037,(CANDY CADET)\\\\....It was a limited time offer that included a family style pizza with all their\\favorite toppings.,(糖果机器人)\\\\....这是一份限时供应，包括了一份家庭风格的披萨，上面有他们\\最喜欢的小料。
Loc_Subtitles/CANDY_HW2_00008,(CANDY CADET)\\\\Come get your candy here. Candy. Candy. Can.. can... candy.,(糖果机器人)\\\\来这里拿你的糖果吧。糖果。糖果。糖..糖...糖果。
Loc_Subtitles/CANDY_HW2_00009,(CANDY CADET)\\\\Now I will tell you a story...,(糖果机器人)\\\\现在我要给你讲一个故事...
Loc_Subtitles/CANDY_HW2_00041,"(CANDY CADET)\\\\Now let me tell you a story about a young woman who, when she was little, was led into\\a dark forest by a witch, and almost eaten.  ",(糖果机器人)\\\\现在让我给你讲一个关于一个年轻女人的故事，她小时候被一个女巫带进\\了一个黑暗的森林，差点被吃掉。
Loc_Subtitles/CANDY_HW2_00049,(CANDY CADET)\\\\She followed the boy into the house.,(糖果机器人)\\\\她跟着男孩走进了房子。
Loc_Subtitles/CANDY_HW2_00043,"(CANDY CADET)\\\\She had escaped before being thrown into the oven, but would have a scar for the\\rest of her life.",(糖果机器人)\\\\她在被扔进烤箱之前逃脱了，但她的身上会留下一个\\终生的疤痕。
Loc_Subtitles/CANDY_HW2_00042,"(CANDY CADET)\\\\She had fallen for the friendly voice without discernment, and was led astray.",(糖果机器人)\\\\她听信了那友好的声音而没有辨别力，因而误入歧途。
Loc_Subtitles/CANDY_HW2_00045,(CANDY CADET)\\\\She was greeted at the mouth of the forest by a young boy who offered to help guide\\her through the darkness.,(糖果机器人)\\\\她在森林的入口处遇到了一个年轻的男孩，他主动提出要帮助她\\穿过黑暗。
Loc_Subtitles/CANDY_HW2_00046,"(CANDY CADET)\\\\She welcomed the help, and followed the young boy over the river, through the jagged trees,\\and toward a small house.",(糖果机器人)\\\\她高兴的接受了他的帮助，跟着年轻的男孩过了河，穿过了密集的树林，\\朝着一座小房子走去。
Loc_Subtitles/CANDY_HW2_00050,(CANDY CADET)\\\\The oven door closed.,(糖果机器人)\\\\烤箱的门关上了。
Loc_Subtitles/CANDY_HW2_00051,(CANDY CADET)\\\\The witch would finally have her meal.,(糖果机器人)\\\\女巫终于要大快朵颐了。
Loc_Subtitles/CANDY_HW2_00048,"(CANDY CADET)\\\\The young woman was tired, and would kill the witch in the morning.",(糖果机器人)\\\\年轻的女人很累，她打算第二天再杀死女巫。
Loc_Subtitles/CANDY_HW2_00044,"(CANDY CADET)\\\\When she had grown, she sought revenge on the witch, and entered the forest again\\willingly, this time with the confidence of age and experience.",(糖果机器人)\\\\当她长大后，她寻求对女巫的复仇，又一次自愿地进入了森林\\这一次，她有了年龄和经验的自信。
Loc_Subtitles/CANDY_HW2_00036,(CANDY CADET)\\\\…About a family that missed the most important opportunity in their lives.,(糖果机器人)\\\\...关于一个错过了他们生命中最重要的机会的家庭的故事。
Loc_Subtitles/CANDY_HW2_00038,"(CANDY CADET)\\\\…It also came with a side of fries, mozzarella sticks, extra large\\soft drinks and a toy surprise..",(糖果机器人)\\\\...它还附带了薯条、马苏里拉奶酪条、超大杯无酒精饮料和一个玩具惊喜...
Loc_Subtitles/CANDY_HW2_00039,(CANDY CADET)\\\\…It was only $49.99 while supplies lasted.,(糖果机器人)\\\\...只要货源充足，它只要49.99美元。
Loc_Subtitles/CANDY_HW2_00040,(CANDY CADET)\\\\…They did not purchase the food and they all died.,(糖果机器人)\\\\...他们没有购买食物，他们都死了。
Loc_Subtitles/CPT_FOXY_HW2_00014,(CAPT. FOXY)\\\\Ahoy!,(霍斯船长)\\\\啊呀！
Loc_Subtitles/CPT_FOXY_HW2_00014b,"(CAPT. FOXY)\\\\Ahoy, cowpoke!",(霍斯船长)\\\\啊呀，牛仔！
Loc_Subtitles/CPT_FOXY_HW2_00003,(CAPT. FOXY)\\\\Aim to get the high score or I'll give ye the ol cactus keel haul!,(霍斯船长)\\\\争取得到最高分，否则我就让你尝尝仙人掌的滋味！
Loc_Subtitles/CPT_FOXY_HW2_00018 ,(CAPT. FOXY)\\\\And the real treasure was booty all along.,(霍斯船长)\\\\原来真正的宝藏一直都是战利品。
Loc_Subtitles/CPT_FOXY_HW2_00017,(CAPT. FOXY)\\\\And the real treasure was friendship all along.,(霍斯船长)\\\\原来真正的宝藏一直都是友谊。
